2,1264
3,1038
4,1123
5,660
6,455
8,504
9,954
10,790
11,2188
12,944
13,685
14,920
15,821
16,1471
17,1205
18,746
19,955
20,748
21,1348
22,1054
23,1018
24,559
25,863
26,769
27,1117
28,1042
29,545
30,1111
31,448
32,1695
33,1100
34,1557
35,1799
36,888
37,504
38,1634
39,823
40,954
41,630
42,1131
43,592
44,700
45,912
46,679
47,891
48,602
49,902
50,2984
51,2521
52,2878
53,1342
54,1950
55,583
56,2067
57,659
58,1947
59,562
60,727
61,795
62,1012
63,1455
64,1726
65,1634
66,1638
67,786
68,683
69,1698
70,1212
71,576
72,1007
73,1483
74,891
75,2768
76,525
77,691
78,545
79,994
80,1741
81,190
82,964
83,750
84,854
85,1283
86,1816
87,565
88,558
91,59
92,138
93,119
95,42
96,99
97,60
98,121
100,228
101,75
102,155
103,99
104,14
105,89
106,349
107,41
108,147
110,47
111,72
112,68
113,37
114,35
115,30
117,277
118,21
119,47
120,70
125,279
126,320
127,207
128,118
129,67
130,407
131,266
132,147
133,456
134,219
135,167
136,143
137,133
139,222
140,356
141,599
142,322
143,374
144,147
145,112
146,32
147,167
148,553
149,171
150,220
151,210
152,137
153,134
154,762
155,482
156,1037
157,1197
158,879
159,314
160,746
161,601
162,489
163,898
164,166
165,1086
166,645
167,239
168,1014
169,535
170,607
171,1268
172,497
173,1351
174,544
175,420
176,539
177,481
178,494
179,623
180,507
181,478
182,849
183,883
184,374
185,230
186,419
187,417
188,796
189,492
190,414
191,802
192,375
193,573
194,1523
195,628
196,1512
197,789
198,693
199,1414
200,641
201,574
202,588
203,707
204,433
205,166
206,387
207,790
208,404
209,266
210,530
211,421
212,221
213,180
214,242
215,213
216,438
217,105
218,77
219,248
220,148
221,239
222,264
223,121
224,371
225,391
226,1087
227,393
228,207
229,328
230,535
231,238
232,481
233,879
234,420
235,481
236,474
237,208
238,124
239,62
240,56
241,331
242,153
243,345
244,563
246,304
247,665
248,180
249,555
